,Area (ft2),Thickness (ft),NTG,Porosity,Sw,Bo (ft3/ft3),GRV (ft3),NRV (ft3),HCPV (ft3),OIIP (mmbo)
0,50419.42920918583,50.0,0.7235935190259152,0.12543325065718353,0.0944666365698538,1.8233399248401574,2520971.4604592915,1824158.6104376395,207195.21948381726,0.02023775475308393
1,68735.93923323923,50.0,0.732462869138666,0.13378674797916093,0.09844745246509594,1.826323027236285,3436796.9616619614,2517326.16318597,303629.2674147101,0.029608491142068278
2,72177.46404327694,50.0,0.7341293486384102,0.13529011620167647,0.09933510771171714,1.8269888746308929,3608873.2021638467,2649379.7332231584,322829.7233686374,0.03146935565080871
3,58617.13314709274,50.0,0.727563069243205,0.12927300760755986,0.09609340660684079,1.8245583367166343,2930856.657354637,2132383.06513682,249170.50484502167,0.024321430660791427
4,148032.72463585858,50.0,0.770860519762497,0.1692542907371186,0.12319091265128496,1.8449053441489291,7401636.23179293,5705629.152732828,846736.4781835744,0.08173807782265204
5,94961.29907481119,50.0,0.7451618984822649,0.14529874809114568,0.10632450826471387,1.8322375824471344,4748064.9537405595,3538077.0950464224,459419.06365311635,0.04465575790595196
6,110883.82087485654,50.0,0.7528720146745447,0.15283225859589775,0.11222683584655847,1.8366737179949821,5544191.043742827,4174066.280843229,566338.8899403599,0.05491545839858876
7,134545.33399222017,50.0,0.7643295600125896,0.16332634978870034,0.11980474844581865,1.8423657182666273,6727266.699611008,5141848.796601027,739187.4398376518,0.07145439958422162
8,74489.90699219216,50.0,0.7352490961286666,0.13629578505044387,0.09995633494043876,1.827454992667328,3724495.3496096083,2738431.8393358868,335929.34301796765,0.03273795068930093
9,182358.30036803504,50.0,0.7874818929711822,0.18728936803180055,0.12874141048049054,1.8490597819784904,9117915.018401751,7180192.978641382,1171645.7288425027,0.11284845056893773
10,176445.74027979161,50.0,0.7846188712811091,0.18356484529341252,0.12810024736327358,1.8485805252759975,8822287.01398958,6922132.879034491,1107888.3585674546,0.10673524833726664
11,103899.13340505064,50.0,0.7494898398761525,0.14948628839766875,0.10959483578695361,1.8346954655058034,5194956.670252532,3893567.2429511202,518246.89475881716,0.05030636764552374
12,21448.188481039582,50.0,0.7095648598063762,0.10831553907580103,0.09073491279329866,1.8205489192586939,1072409.424051979,760944.0426324792,74943.50537825414,0.007331315152046938
13,153106.22279492076,50.0,0.773317244947045,0.17156060473995324,0.12428902934857063,1.845728183496704,7655311.139746038,5919984.119800829,889403.6361165526,0.08581859424264565
14,94619.87461346647,50.0,0.7449965715132765,0.1451436402051647,0.1062054952095197,1.8321481486876965,4730993.730673323,3524574.109202431,457238.02256101684,0.04444592910423309
15,118485.8696266145,50.0,0.7565531325220495,0.15629734227591915,0.11488895043205836,1.8386742182381204,5924293.481330724,4482042.791280718,620048.0616827062,0.06005799191465411
16,81058.74005776996,50.0,0.7384299029643746,0.13914772048206506,0.10182967479837093,1.8288611446511076,4052937.002888498,2992809.877763677,374036.45043179806,0.03642364740605625
17,169461.28286174862,50.0,0.7812368078800096,0.17962560083124265,0.12717373402040905,1.84788765572881,8473064.143087432,6619469.584108194,1037813.2993711036,0.10002162520005126
18,94697.54502848895,50.0,0.7450341816313247,0.145178900302414,0.10623253120654287,1.832168465091219,4734877.251424448,3527645.3981397897,457733.7850679664,0.044493626432021295
19,112153.0218233616,50.0,0.7534865961401702,0.15342168351086188,0.11268628310849368,1.8370190195682343,5607651.09116808,4225289.933025949,575202.0884470925,0.055764400908682024
20,74086.92647722489,50.0,0.7350539620517509,0.13612070471645596,0.09984664271429329,1.8273726815331537,3704346.323861244,2722894.442166046,333634.9200012282,0.03251581254863599
21,71075.86196865381,50.0,0.73359592308562,0.1348099525801069,0.09904617380760827,1.8267721162878494,3553793.098432691,2607048.1285000355,316645.65909068537,0.030870197222496096
